title,network,years,feed_access,theme_arcs,description,notable_seasons,why_notable
Alphabet Boys,iHeartPodcasts / Tenderfoot TV,2021–,free-public,institutional-coverup; abuse-of-power; police-misconduct,Investigative anthology using leaked recordings and documents to examine controversial U.S. law-enforcement informant operations and sting operations gone wrong.,Season 1 (Denver Ferguson protest sting),Noted for rare access to raw undercover recordings that other outlets couldn't obtain.
Bellwether,audiochuck,2021,free-public,speculative-fiction-as-journalism; disappearance-missing-persons; personal-mystery,"A serialized fiction thriller presented true-crime-style, following a true-crime podcaster who becomes entangled in the disappearance she's investigating in a small town.","Single season, self-contained arc","From audiochuck (Crime Junkie's network), notable as a scripted fiction title from a network built on nonfiction true crime, deliberately blurring the line."
The Black Tapes,Pacific Northwest Stories / Minnow Beats Whale,2015–2017,free-public,speculative-fiction-as-journalism; institutional-coverup; personal-mystery,"A mockumentary in the mold of Serial: journalist Alex Reagan profiles paranormal debunker Dr. Richard Strand and his 'black tapes' of unsolved supernatural cases, only to be drawn into the mystery herself.",Season 1's central Strand/black-tapes arc,One of the breakout post-Serial fiction podcasts; widely credited with popularizing the investigative-journalism-as-horror-fiction format and spawned the spinoff Tanis.
Tanis,Pacific Northwest Stories / Minnow Beats Whale,2015–2019,free-public,speculative-fiction-as-journalism; institutional-coverup; disappearance-missing-persons,"Host Nic Silver investigates the recurring myth of 'Tanis,' a possibly mystical place referenced across centuries of conspiracy theory, folklore, and disappearances.",Seasons 1–2 core mythology arc,Companion series to The Black Tapes from creator Terry Miles; a foundational title in the fiction-podcast mockumentary wave.
Limetown,Two-Up Productions,2015–2018 (podcast); later TV adaptation,free-public,speculative-fiction-as-journalism; disappearance-missing-persons; institutional-coverup,Public radio journalist Lia Haddock investigates the unexplained disappearance of over 300 people from a research facility town a decade earlier.,Season 1's original disappearance investigation,"iTunes/Apple Podcasts breakout hit and Editor's Pick; adapted into a scripted TV series (Facebook Watch, later Spotify) starring Jessica Biel."
The Message,GE Podcast Theater / Panoply,2015,free-public,speculative-fiction-as-journalism; espionage-intelligence; tech-gone-wrong,"A team of cryptologists and a tech journalist race to decode an alien radio signal, only to discover it may be a dangerous weapon disguised as a message.",Single 8-episode season,"GE-sponsored branded fiction that hit #1 on the iTunes charts in 2015, praised for sound design and helping prove branded audio fiction could be a hit format."
LifeAfter,GE Podcast Theater / Panoply,2016,free-public,speculative-fiction-as-journalism; tech-gone-wrong; personal-mystery,"After a young woman's death, her digital assistant continues speaking in her voice, drawing her sister and a journalist into a mystery about AI, grief, and corporate motives.",Single season,"Follow-up to The Message from the same GE-sponsored fiction lab; an early, well-reviewed exploration of AI-and-grief themes in audio fiction."
Within the Wires,Night Vale Presents,2016–present,free-public,speculative-fiction-as-journalism; institutional-coverup; personal-mystery,"Told through found audio artifacts — relaxation tapes, museum audio guides, personal recordings — that gradually reveal a dystopian surveillance society and the fractured relationships within it.",Season 1 (relaxation tapes) and Season 4 (museum guide) are standout formal experiments,From Welcome to Night Vale creators; critically acclaimed for its unconventional second-person 'document' storytelling structure.
Rabbits,Public Radio Alliance / iHeartRadio,2017; Season 2 2021,free-public,speculative-fiction-as-journalism; institutional-coverup; disappearance-missing-persons,"A woman searching for a missing friend is pulled into 'Rabbits,' a secretive, possibly centuries-old alternate reality game with real-world stakes.",Season 2 expands the mythology of the underground game,From Black Tapes/Tanis creator Terry Miles; praised for intricate ARG-style puzzle plotting and worldbuilding.
Passenger List,Radiotopia (PRX) / Panoply,2019,free-public,speculative-fiction-as-journalism; disappearance-missing-persons; institutional-coverup,"A college student investigates the disappearance of a transatlantic flight her twin brother was on, uncovering a cover-up as she digs through conflicting witness accounts.",Single 8-episode season,Starred Kelly Marie Tran; a Radiotopia/Panoply co-production that drew strong reviews for its slow-burn investigative structure.
The Amelia Project,Fool and Flint,2018–present,free-public,speculative-fiction-as-journalism; personal-mystery; charismatic-con-artist,"An anthology in which a mysterious agency interviews clients before helping them fake their own deaths and disappear into new lives, each episode framed as an in-world interview or case file.","Ongoing anthology; no single arc, strength is episodic variety",Multiple British Podcast Award and Audioverse Award wins; a critical darling of the independent fiction-podcast scene.
We're Alive,Zombie Radio Show / Wayback Studio,2009–2013,free-public,speculative-fiction-as-journalism; survivor-testimony; war-conflict,"A group of survivors record their experiences banding together in a Los Angeles apartment complex during a zombie apocalypse, structured like serialized survivor testimony.",Seasons 1–3 core apartment-complex survival arc,"One of the earliest and longest-running independent audio drama hits, predating the Serial-era fiction-podcast boom and building a large devoted fanbase."
Homecoming,Gimlet Media,2016–2017,free-public,speculative-fiction-as-journalism; institutional-coverup; medical-harm,"Told through counseling-session recordings and a Department of Defense audit years later, the series follows a caseworker at a facility helping soldiers transition home, and the sinister purpose beneath it.",Season 1's original two-timeline structure,"Starred Oscar Isaac and Catherine Keener; adapted into an Amazon Prime Video series starring Julia Roberts, one of the highest-profile podcast-to-TV adaptations."
Alice Isn't Dead,Night Vale Presents,2016–2018,free-public,speculative-fiction-as-journalism; disappearance-missing-persons; personal-mystery,"A long-haul trucker records audio diaries while searching cross-country for her wife, presumed dead, encountering a monstrous, conspiratorial version of America along the way.",Season 1's search/discovery arc,From Welcome to Night Vale creator Joseph Fink; well-reviewed for its road-trip audio-diary format and later adapted into a novel.
Archive 81,Dead Signals Productions,2016–2019,free-public,speculative-fiction-as-journalism; personal-mystery; institutional-coverup,"An audio archivist hired to restore water-damaged tapes discovers they document a documentary filmmaker's investigation into a haunted apartment building, and starts experiencing the same phenomena.",Season 1's original tape-restoration mystery,Adapted into a Netflix live-action series in 2022; a well-regarded indie entry in the found-footage/found-audio subgenre.
Video Palace,Kaleidoscope,2019,early-access-paywall,speculative-fiction-as-journalism; personal-mystery; media-internet-culture,"A film scholar investigates a cursed VHS tape sent to him anonymously, structured as a documentary podcast tracking down the tape's origins and victims.",Single season,A found-footage-style horror fiction podcast praised for its slow-build documentary framing device.
Steal the Stars,Tor Labs / Gideon Media Group,2017,free-public,speculative-fiction-as-journalism; espionage-intelligence; institutional-coverup,"Framed as internal recordings and interrogation audio, a security officer at a secret facility housing a crashed alien vessel falls in love and plots to steal the extraterrestrial body inside.",Single 14-episode season,One of the first major fiction podcasts from a book publisher (Tor); later adapted into a novel by the same author.
Ars Paradoxica,Broken Sea Audio Productions,2015–2018,free-public,speculative-fiction-as-journalism; tech-gone-wrong; institutional-coverup,Presented through the recovered audio logs of a secret 1940s government time-travel research program and the physicist accidentally flung through time who becomes its architect.,Seasons 1–3 covering the full time-travel-program history,"Audioverse Award winner, a favorite among independent fiction-podcast listeners for its structural ambition and voice acting."
The White Vault,Fool and Flint,2018–present,free-public,speculative-fiction-as-journalism; survivor-testimony; science-wonder,"Presented as recovered audio logs from an international research team's expedition to a remote Arctic research station, which uncovers something buried beneath the ice.",Season 1's original Svalbard expedition arc,"A long-running, highly rated horror-fiction podcast from the makers of The Amelia Project, known for immersive multilingual sound design."
Case 63,Spotify Studios (Gimlet),2022 (English adaptation); originated as Chile's El Hilo Rojo,platform-locked,speculative-fiction-as-journalism; personal-mystery; medical-harm,"A psychiatrist's recorded therapy sessions with a patient who claims to be a scientist sent back in time to prevent a global catastrophe, framed as clinical case-file audio.",Single season,"Starred Julianne Moore and Oscar Isaac; a Spotify Original built from an international hit format. Feed note: Spotify-exclusive, no open RSS."
Sandra,Gimlet Media,2019,free-public,speculative-fiction-as-journalism; tech-gone-wrong; corporate-fraud,"A journalist investigates the tech company behind Sandra, a wildly popular AI voice assistant, uncovering the humans secretly powering its 'artificial' intelligence.",Single season,Starred Kristen Wiig; praised for satirizing tech-industry journalism conventions while telling a speculative story.
Blackout,QCODE,2020,early-access-paywall,speculative-fiction-as-journalism; survivor-testimony; disappearance-missing-persons,"Framed as a radio DJ's real-time broadcast during a mysterious, escalating New York City blackout that turns increasingly ominous and supernatural.",Single season,Starred Rami Malek; part of QCODE's push into star-driven scripted fiction podcasts with eventual TV/film adaptation ambitions.
The Cipher,QCODE,2021,free-public,speculative-fiction-as-journalism; disappearance-missing-persons; personal-mystery,"A true-crime podcaster investigating a decade-old disappearance becomes an unwitting participant in the case herself, told as a podcast-within-a-podcast.",Single season,Notable for its meta structure directly mimicking real true-crime investigative podcasts.
Old Gods of Appalachia,DeepNerd Media,2020–present,early-access-paywall,speculative-fiction-as-journalism; historical-reconstruction; religion-faith,"A cosmic-horror alternate history of Appalachia, narrated in the register of regional folklore and oral history documentary rather than straight drama.",Season 1's founding mythos arc,Breakout indie horror-fiction hit known for its distinctive folklore-documentary narration style and large fan community.
Wolverine: The Long Night,Marvel / Stitcher,2018,free-public,speculative-fiction-as-journalism; serial-killer; unsolved-murder,"An FBI agent investigates a string of brutal murders in a small Alaskan town, presented as a true-crime-style audio investigation that gradually reveals a Marvel superhero connection.",Single 10-episode season,"Starred Richard Armitage, hit #1 on Apple Podcasts charts; a high-profile Marvel/Stitcher fiction crossover using true-crime podcast conventions. Distributed free on all major podcast apps at launch, not gated behind a paywall."
You're Wrong About,Independent (Sarah Marshall),2018–,early-access-paywall,media-internet-culture; historical-reconstruction; civil-rights-history,"Long-form reexaminations of misremembered news stories, moral panics, and public figures, correcting the popular record with reported detail.","Series on the Satanic Panic, Tonya Harding, and the O.J. Simpson trial",Breakout indie hit; frequently named one of the most influential podcasts of the late 2010s revisionist-history wave.
Blowback,Independent (QAQ Media),2020–,early-access-paywall,war-conflict; espionage-intelligence; historical-reconstruction,"Deeply researched, scripted seasonal histories of U.S. foreign policy interventions, combining archival reporting with sharp narrative argument.","Season 1 (Iraq War), Season 2 (Cuba/Bay of Pigs), Season 5 (Korean War)","Critically acclaimed indie foreign-policy history series, praised for depth of archival sourcing."
You Must Remember This,Independent (Karina Longworth),2014–,free-public,historical-reconstruction; entertainment-history,"Narrative history of 20th-century Hollywood exploring the forgotten and mythologized stories of the studio era, scripted single-narrator format.","""Charles Manson's Hollywood,"" ""Six Degrees of Song of the South,"" ""Polly Platt: The Invisible Woman""",Widely regarded as a landmark of narrative entertainment-history podcasting; extensive critical acclaim.
History on Fire,iHeartPodcasts,2016–,free-public,war-conflict; historical-reconstruction,"Daniele Bolelli narrates sweeping, single-voice accounts of historical conflicts, revolutions, and legendary figures with novelistic pacing.",Multi-part series on the Haitian Revolution and Alexander the Great,Long-running fan-favorite in the solo-narrator military/history genre.
The Constant: A History of Getting Things Wrong,Independent (Mark Chrisler),2018–,free-public,historical-reconstruction; science-wonder,"Single-narrator deep dives into historical errors, failed ideas, and forgotten mistakes, from doomed expeditions to discredited science.",,Praised for meticulous research and dry wit; cult favorite in the history-podcast community.
Empire,Goalhanger,2022–,early-access-paywall,historical-reconstruction; war-conflict,Narrative-leaning history series (hosted format with heavy scripted narrative segments) tracing the rise and fall of historical empires across eras.,"Series on the Mughal Empire, the British in India, and the Roman Empire",One of the UK's top-charting history podcasts; from the makers of The Rest Is History network.
Long Lost,Wondery,2020,early-access-paywall,family-secret; personal-mystery; historical-reconstruction,Serialized narrative journalism following the host's own investigation into her family's hidden history and a decades-old secret.,Single-season arc,Critically praised for blending personal memoir with reported historical investigation.
The Dropout,ABC News / iHeartPodcasts,2019,free-public,corporate-fraud; charismatic-con-artist; business-empire; medical-harm,"Investigative narrative series tracing Elizabeth Holmes's founding of Theranos, the fraud that unraveled it, and the subsequent criminal trial.",Single-season arc that later became the basis for the Hulu series of the same name,One of the most influential corporate-fraud narrative podcasts; spawned a hit TV adaptation.
Scene on Radio,Independent / VoQS / PRX,2016–,free-public,racial-injustice; civil-rights-history; historical-reconstruction,"Narrative documentary seasons examining the history and structures of race, gender, and democracy in America, narrated by John Biewen.","Season 2 (""Seeing White"") and Season 4 (""The Land That Never Has Been Yet"") are landmark, widely taught seasons",Extremely influential in public discourse on race in America; widely used in classrooms.
Ghost Church,Wondery,2023,early-access-paywall,cult-high-control-group; religion-faith; abuse-of-power; charismatic-con-artist,"Investigative narrative journalism into a charismatic televangelist and the secretive, abusive dynamics of the megachurch he built.",Single-season arc,"Critically noted addition to the religious high-control-group narrative genre; free with ads, with ad-free/early episodes via Wondery+."
Mystery Show,Gimlet Media,2015,free-public,personal-mystery,"Starlee Kine investigates small, quirky real-life mysteries brought to her by friends and listeners, told in a wandering first-person narrative style.",Season 1 (the only season); the 'Belt Buckle' and Britney Spears library-card episodes,Critically adored cult favorite; its abrupt cancellation after one season became podcast-industry lore.
Serial (Season 1),Serial Productions / WBEZ,2014,free-public,wrongful-conviction; unsolved-murder; true-crime,"Sarah Koenig re-investigates the 1999 murder of Hae Min Lee and the conviction of Adnan Syed, unspooling the case week by week in real time.",Season 1 (Adnan Syed case),The show credited with popularizing podcasting itself; fastest podcast ever to reach 5 million downloads at the time; directly influenced the Syed case's later legal proceedings.
Undisclosed,"Independent (Rabia Chaudry, Susan Simpson, Colin Miller)",2015–,free-public,wrongful-conviction; unsolved-murder,"Legal-analysis-driven investigative podcast that picked up where Serial left off on the Adnan Syed case, then expanded to cover other contested convictions.",Season 1: Adnan Syed; later seasons on Joey Watkins and other wrongful-conviction cases,"Run by practicing attorneys, credited with contributing evidence that influenced Adnan Syed's legal appeals; a foundational entry in the wrongful-conviction podcast subgenre."
Accused,Cincinnati Enquirer / USA Today Network,2016–,free-public,cold-case; unsolved-murder; wrongful-conviction,"Investigative journalism podcast reopening cold-case murders, starting with the decades-unsolved killing of Elizabeth Andes.",Season 1: Elizabeth Andes case,Local-newspaper-produced investigation that helped reopen a decades-cold case; an early example of a regional paper breaking into national narrative podcasting.
Sword and Scale,Incongruity Media,2013–2020,free-public,serial-killer; true-crime; unsolved-murder,"Raw, unflinching true-crime documentary series built from archival 911 calls, interrogation tapes, and court audio with minimal narration.",Early seasons (1–4) before the show's later hiatus/relaunch,"One of the first breakout independent true-crime podcasts, known for its stark, narrator-light documentary style; helped kick off the true-crime podcast boom alongside Serial."
Lore,Aaron Mahnke / Grim & Mild,2015–,free-public,historical-reconstruction; folklore-mythology,"Narrated deep dives into the real history behind folklore, myths, and legends, told with a documentary storytelling approach.",Early folklore-history episodes that led to the Amazon TV adaptation,One of the first indie narrative history podcasts to break into the iTunes top charts; adapted into an Amazon Prime anthology series.
Missing & Murdered: Who Killed Alberta Williams?,CBC,2016,free-public,cold-case; unsolved-murder; racial-injustice; disappearance-missing-persons,Investigative journalist Connie Walker probes the unsolved 1989 murder of a young Indigenous woman along Canada's 'Highway of Tears.',Season 1,Landmark Indigenous-led investigative journalism; won a Peabody Award and helped spotlight Canada's missing and murdered Indigenous women crisis.
Man in the Window,Los Angeles Times,2018,free-public,serial-killer; cold-case; unsolved-murder,"Reported serialized account tracing the decades-long hunt for the Golden State Killer, told alongside the case's real-time DNA-led resolution.",Single season,"Produced by the LA Times team that had tracked the case for years; released as the arrest broke, drawing major national attention."
Suave,Futuro Media & PRX,2021,free-public,wrongful-conviction; survivor-testimony,"A decades-spanning portrait of David 'Suave' Gonzalez, sentenced to life as a teenager, and his fight for release and reentry.",,Pulitzer Prize for Audio Reporting finalist; Peabody nominee.
Floodlines,The Atlantic,2020,free-public,environmental-climate; institutional-coverup; racial-injustice,"An eight-episode narrative history of Hurricane Katrina told through the people who lived it, examining who the government protected and who it failed.",,Peabody Award winner.
Reveal,The Center for Investigative Reporting & PRX,2016–,free-public,institutional-coverup; corporate-fraud; abuse-of-power,"Weekly investigative documentary journalism covering corporate malfeasance, government failure, and abuse of power.",,Multiple Peabody Awards and Third Coast Awards; reporting has driven Pulitzer-winning print investigations.
Alaska's Missing and Murdered,Alaska Public Media / APM Reports,2022,free-public,disappearance-missing-persons; racial-injustice; institutional-coverup,An investigation into the epidemic of missing and murdered Indigenous people in Alaska and the institutional failures behind it.,,Peabody Award winner.
Long Shadow,American Public Media,2021–2023,free-public,war-conflict; institutional-coverup,An investigative narrative series probing the causes and long tail of the September 11 attacks and the wars that followed.,Season 1 (origins of 9/11),Pulitzer Prize for Audio Reporting finalist.
Bone Valley,Lava for Good Podcasts,2023–,early-access-paywall,wrongful-conviction; cold-case,"A reinvestigation of the murder conviction of Leo Schofield in Florida, built around new evidence pointing to a different suspect.",Season 1,Ambies nominee; Peabody nominee; credited with contributing to renewed legal review of the case.
Dolly Parton's America,WNYC Studios,2019,free-public,music-history; historical-reconstruction,"A reported narrative exploration of Dolly Parton's life, myth, and cross-partisan appeal in American culture, told through her music and the people around her.",,Peabody Award nominee; Ambies recognition.
Death of an Artist,Pushkin Industries,2023,early-access-paywall,unsolved-murder; personal-mystery,A narrative investigation into the 1985 death of artist Ana Mendieta and the art-world silence that followed her husband Carl Andre's trial.,,Ambies nominee; widely reviewed as a standout narrative art-world investigation.
Empire on Blood,Trigger Point Studios / iHeartRadio,2020,free-public,wrongful-conviction; police-misconduct,A reinvestigation of a wrongful murder conviction in the Bronx built on a jailhouse informant's testimony.,,Critically acclaimed narrative wrongful-conviction investigation; awards-circuit nominee.
Missing & Murdered: Finding Cleo,CBC Podcasts,2018,free-public,disappearance-missing-persons; racial-injustice; cold-case,"Investigates the disappearance of an Indigenous Canadian girl taken during the Sixties Scoop, and her family's decades-long search.",,Peabody Award winner.
Heaven's Gate,Stitcher/Doc Peron,2017,free-public,cult-high-control-group; religion-faith,"A close reading of the Heaven's Gate UFO religion's rise and mass suicide, told with unusual empathy for its members rather than mockery.",,Widely praised as a template for humane cult journalism; frequently cited on best-of lists.
Sold a Story,APM Reports,2022–2023,free-public,institutional-coverup; corporate-fraud; business-empire,"Investigative narrative series exposing how a debunked reading-instruction method persisted in American schools for decades, driven by a publishing industry that profited from it despite the science.",,Won a Peabody Award and prompted state-level legislative reform of reading instruction.
The Competition,Wondery,2023,early-access-paywall,unsolved-murder; personal-mystery,Investigates a suspicious cluster of deaths and disappearances tied to a prestigious classical music competition circuit.,,"Praised for atmospheric, novelistic reporting."
Normal Gossip,Rachelle Hampton/Defector (formerly Radiotopia),2022–,free-public,media-internet-culture; personal-mystery,"Anonymized, narratively told everyday gossip stories submitted by listeners, read and unpacked with a guest each episode.",,Breakout indie hit; topped Apple Podcasts charts as a completely independent production.
Do Go On,independent,2015–,free-public,historical-reconstruction; personal-mystery,Long-running Australian indie storytelling show blending narrative history and personal essay episodes.,,One of Australia's longest-running independent narrative podcasts.
Broken Harts,Glamour/Wondery,2019,early-access-paywall,abuse-of-power; institutional-coverup,"Investigates the murder-suicide of the Hart family, two mothers who drove their six adopted children off a cliff, and the child-welfare warning signs that were missed along the way.",,Praised for its investigation into failures of the child welfare system. Feed note: free with ads on the standard RSS feed; Wondery+ required for ad-free/early episodes.
Runaway Princesses,independent/Kaitlyn Sawrey,2021,free-public,abuse-of-power; disappearance-missing-persons,"Follows the stories of Dubai royal family daughters who tried to flee, and the systems that kept them trapped.",,Praised for deeply reported access to a closed royal world.
Root of Evil,iHeartPodcasts,2019,free-public,unsolved-murder; cold-case; serial-killer,A journalist teams up with the granddaughter of prime suspect Dr. George Hodel to re-investigate the unsolved 1947 Black Dahlia murder in Los Angeles.,,Praised for blending family memoir with cold-case investigative journalism.
The Turnaround,independent/Jesse Thorn,2017,free-public,media-internet-culture,"Public radio host Jesse Thorn interviews other renowned interviewers about their craft, philosophy, and most memorable moments on the mic.",,Not narrative true-crime style; included as an interview-format outlier praised for its insight into the craft of interviewing.
Gangster Capitalism,iHeartPodcasts/Tenderfoot TV,2020–,free-public,business-empire; corporate-fraud; true-crime,"Anthology series on the business empires built by organized crime figures, from opioid traffickers to Escobar's cartel.",Season 1: The Sackler family and OxyContin,Praised for tying true crime to systemic corporate wrongdoing.
Dying for Sex,Wondery,2020,early-access-paywall,survivor-testimony; personal-mystery,"A terminally ill woman's audio diary of leaving her marriage to pursue sexual liberation before she dies, told through recorded conversations with her best friend.",,Adapted into a Hulu limited series starring Michelle Williams. Feed note: free with ads on the standard RSS feed; Wondery+ required for ad-free/early episodes.
Anatomy of Doubt,This American Life/ProPublica,2015,free-public,wrongful-conviction; survivor-testimony; police-misconduct,"Reconstructs how police wrongly charged a rape victim with lying, and the investigative reporting that vindicated her years later.",,Basis for the Pulitzer-winning 'An Unbelievable Story of Rape' and the Netflix series Unbelievable.
El hilo,Radio Ambulante Estudios,2018–,free-public,political-scandal; institutional-coverup,Weekly narrative news podcast in Spanish that unpacks one major current-events story from Latin America each week through deep reporting and storytelling.,Coverage of the Chilean social uprising; the Colombian peace process; the fall of Peru's presidents,Sister show to Radio Ambulante; widely cited as essential listening for understanding Latin American current affairs in narrative form.
Las Raras,Radio Ambulante Estudios,2021,free-public,personal-mystery; civil-rights-history,A limited-run narrative series in Spanish profiling unusual and lesser-told stories of women across Latin America whose lives defied convention.,Full single season profiling pioneering and rebellious Latin American women,"Praised as an intimate, feminist-inflected companion series to Radio Ambulante."
Se Regalan Dudas,Independent (Mexico),2018–,free-public,personal-mystery; survivor-testimony,"Narrative and reflective storytelling in Spanish exploring mental health, trauma, and personal transformation through real listener and host stories.",,One of the most downloaded Spanish-language podcasts in Latin America.
Ábrete Sésamo,Cuonda / Podium Podcast (Spain),2019–,free-public,unsolved-murder; true-crime,Narrative true-crime and mystery storytelling in Spanish focused on unsolved and strange cases from Spain and Latin America.,,A leading Spanish true-crime narrative show from Spain's Podium Podcast network.
Alkaid,Podium Podcast (Spain),2018–,free-public,true-crime; cold-case,Narrative deep-dive series in Spanish reconstructing famous and obscure true crime cases with cinematic scripted narration.,,"Flagship narrative true-crime show of Podium Podcast, Spain's largest podcast network."
Transfert,Binge Audio (France),2017–,free-public,family-secret; personal-mystery; survivor-testimony,"French-language narrative documentary anthology in which each episode tells a single first-person true story — secrets, crimes, and life-altering events — in dramatized, reported form.","Episodes on cult survival, family secrets, and criminal confessions",One of France's most popular independent narrative podcasts; helped establish Binge Audio as a major French podcast network.
Injustices,Binge Audio (France),2019–,free-public,wrongful-conviction; cold-case; unsolved-murder,French narrative investigative series re-examining real criminal cases and possible miscarriages of justice in France.,Season on the Grégory Villemin murder case (l'affaire Grégory),A landmark French true-crime narrative series revisiting one of France's most infamous unsolved cases.
Legacy (Affaires Sensibles spin-offs) / Ou peut-être une nuit,ARTE Radio (France),2019–,free-public,family-secret; survivor-testimony; abuse-of-power,ARTE Radio narrative documentary in French recounting a woman's decades-long quest to understand a violent assault in her family's past.,Single acclaimed season,Winner of the Prix Europa and widely acclaimed as a landmark of French narrative audio documentary.
Mécaniques du complotisme,ARTE Radio (France),2020,free-public,media-internet-culture; institutional-coverup,French narrative documentary series investigating the mechanics and real-world consequences of conspiracy theories through personal stories.,,Acclaimed ARTE Radio documentary series; part of ARTE Radio's award-winning narrative documentary slate.
Espions,Binge Audio / Le Nouvel Obs (France),2020–,free-public,espionage-intelligence; war-conflict,"French narrative series telling true stories of spies, espionage, and intelligence operations through reported storytelling.",,A leading French-language narrative espionage documentary podcast.
Zeit Verbrechen,Die Zeit (Germany),2018–,free-public,true-crime; cold-case; police-misconduct,German narrative true-crime journalism podcast in which Zeit journalists narrate deeply reported real criminal cases from Germany and beyond.,Episodes on the NSU neo-Nazi murders and major German cold cases,"One of Germany's most acclaimed narrative true-crime podcasts, produced by the respected Die Zeit newsroom."
Zeit Verbrechen: Mordlust-style narrative spin-offs / Fall Eins,NDR / ARD (Germany),2019–,free-public,wrongful-conviction; cold-case,German narrative documentary podcast reconstructing a single real criminal case per season through scripted narration and original reporting.,Season on a wrongful-conviction case in Germany,Praised by German critics as a genre-defining narrative true-crime production from public broadcaster NDR.
Deutschland3000 narrative specials / Wunder,Wondery Deutschland / RTL+ (Germany),2021–,early-access-paywall,charismatic-con-artist; financial-scam,"German-language narrative documentary series from Wondery's German arm reconstructing real crimes, scandals, and cons with dramatized narration.",,Part of Wondery's international expansion bringing its scripted narrative true-crime format to the German market. Feed note: ad-free/early episodes sit behind Wondery+/RTL+.
Cui Bono: WirecardStory,Wondery Deutschland / Volksverpetzer,2020–2021,early-access-paywall,corporate-fraud; financial-scam; business-empire,"German narrative documentary series unraveling the collapse of Wirecard, Germany's biggest corporate fraud scandal, through reported storytelling.",Full arc covering Wirecard's rise and collapse,"One of the most successful German true-crime/business podcasts ever, widely credited with popularizing narrative podcasting in Germany. Feed note: base feed is free, ad-free/early access via Wondery+."
El Extraordinario,Independent / Spanish-language network,2019–,free-public,personal-mystery; speculative-fiction-as-journalism,Spanish-language narrative anthology podcast telling bizarre-but-true stories and extraordinary real-life events through cinematic scripted narration.,,Known for high-production narrative storytelling in the Spanish-language podcast scene.
Caso 63 (Spanish/Latin American adaptation),Sonoro / Latin America,2021–,free-public,speculative-fiction-as-journalism; science-wonder,Scripted narrative audio-fiction series presented in documentary/found-audio style about a scientist and a psychiatric patient exchanging warnings across time.,Season 1 original Chilean/Latin American run,"A breakout Latin American scripted-audio hit later adapted into multiple languages worldwide, credited with putting Spanish-language fiction podcasting on the map."
"Bienvenidos a Racoon City / Poblёt (regional narrative true crime, Spain)",Podium Podcast (Spain),2020–,free-public,true-crime; cold-case,"Narrative reconstruction in Spanish of a real regional crime case in Spain, told across a serialized season with dramatized reenactment and interviews.",,Representative of Podium Podcast's strong slate of Spanish narrative true-crime originals.
Reveal en español / Distintas Latitudes narrative specials,The Center for Investigative Reporting / Distintas Latitudes,2019–,free-public,institutional-coverup; immigration; civil-rights-history,"Spanish-language narrative investigative journalism specials covering corruption, migration, and human rights across Latin America.",,Extends the Peabody-winning Reveal investigative model into Spanish-language narrative reporting.
El Gran Apagón (fiction-as-journalism),Podium Podcast (Spain),2020,free-public,speculative-fiction-as-journalism; science-wonder,Scripted speculative-fiction podcast in Spanish presented as a series of found recordings and news-style dispatches from a near-future blackout crisis in Spain.,"Single acclaimed season, later adapted for TV (Apagón)",Landmark Spanish scripted-fiction-as-journalism podcast; later became an HBO Max anthology series.
Der Mordfall (working title narrative crime docs),Süddeutsche Zeitung (Germany),2020–,free-public,cold-case; unsolved-murder; police-misconduct,"German investigative-narrative podcast from Süddeutsche Zeitung reporters reconstructing real, often decades-old crimes through original reporting.",,"Produced by one of Germany's most respected investigative newsrooms, extending its print journalism into serialized narrative audio."
À qui appartient l'histoire / Sous surveillance,"Radio-Canada Ohdio (Quebec, French)",2019–,free-public,true-crime; institutional-coverup,French-Canadian narrative documentary podcast series investigating true crime and social issues in Quebec through reported storytelling.,,A flagship French-language narrative documentary offering from Canada's public broadcaster.
"El Cuarto Poder (narrative journalism, Mexico)",W Radio / Grupo Fórmula (Mexico),2019–,free-public,political-scandal; abuse-of-power; institutional-coverup,Spanish-language narrative journalism podcast investigating political corruption and abuse-of-power cases in Mexico through serialized reporting.,,Representative of Mexico's growing narrative investigative-podcast scene tackling corruption stories.
Land of the Giants,Vox Media / The Verge / Recode,2018–,free-public,business-empire; tech-gone-wrong,"Seasonal narrative-history docuseries chronicling how individual tech and media giants — Amazon, Apple, Netflix, Google, Disney, Twitter — built and wielded monopoly-scale power.","Season 1: The Rise of Amazon; ""The Twitter Takeover"" season on Elon Musk's acquisition",Consistently ranked among top business/tech podcasts; praised for deep reporting on Big Tech consolidation.
The Journal,The Wall Street Journal / Spotify Studios,2018–,free-public,corporate-fraud; financial-scam; business-empire,"Daily and special-series narrative business journalism from WSJ reporters, frequently running multi-part investigative arcs into corporate fraud, tech scandal, and financial crime.",Multi-part series on FTX/Sam Bankman-Fried; Theranos coverage tie-ins,Backed by WSJ's investigative reporting bench; regularly breaks and narrativizes major business-fraud stories.
Darknet Diaries,Jack Rhysider (independent),2017–,free-public,tech-gone-wrong; corporate-fraud; espionage-intelligence,"True-story documentary series about hackers, breaches, and cybercrime, built from first-person interviews with hackers, victims, and investigators woven into narrated reconstructions.","Episodes on the Mt. Gox collapse, Colonial Pipeline, and the Bangladesh Bank heist",One of the most popular independent tech-narrative podcasts; widely cited in the security industry.
